client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
baf08233da5a0d0d8ecf2cb012cd6657716eca4201a1425500970db7a2a62e71388a32f7b5dfab169e9c77cde571e4e6d74b91316691d2554ded5979032d0844	common_voice_da_28491883.mp3	Den bedste affaldsforebyggelse, kære kolleger, findes i disse produkters økodesign, som ændres.	2	0	twenties	male		da	
baf08233da5a0d0d8ecf2cb012cd6657716eca4201a1425500970db7a2a62e71388a32f7b5dfab169e9c77cde571e4e6d74b91316691d2554ded5979032d0844	common_voice_da_28491884.mp3	Det er endnu en temmelig sart plante, som kræver vores fulde opmærksomhed.	2	0	twenties	male		da	
baf08233da5a0d0d8ecf2cb012cd6657716eca4201a1425500970db7a2a62e71388a32f7b5dfab169e9c77cde571e4e6d74b91316691d2554ded5979032d0844	common_voice_da_28491886.mp3	En sådan hotline bør i grunden være et permanent tilbud.	2	0	twenties	male		da	
baf08233da5a0d0d8ecf2cb012cd6657716eca4201a1425500970db7a2a62e71388a32f7b5dfab169e9c77cde571e4e6d74b91316691d2554ded5979032d0844	common_voice_da_28491887.mp3	Det skyldes måske til dels, at landbrugspolitikken har ændret sig i løbet af årene.	2	0	twenties	male		da	
baf08233da5a0d0d8ecf2cb012cd6657716eca4201a1425500970db7a2a62e71388a32f7b5dfab169e9c77cde571e4e6d74b91316691d2554ded5979032d0844	common_voice_da_28491903.mp3	Hele føderationen lader sig trække rundt ved næsen af krigspropaganda.	2	0	twenties	male		da	
baf08233da5a0d0d8ecf2cb012cd6657716eca4201a1425500970db7a2a62e71388a32f7b5dfab169e9c77cde571e4e6d74b91316691d2554ded5979032d0844	common_voice_da_28491904.mp3	Der er ikke foretaget nogen stresstest endnu.	2	0	twenties	male		da	
baf08233da5a0d0d8ecf2cb012cd6657716eca4201a1425500970db7a2a62e71388a32f7b5dfab169e9c77cde571e4e6d74b91316691d2554ded5979032d0844	common_voice_da_28491905.mp3	De vil sleske for ham og være rigtig søde og rare og venlige.	2	0	twenties	male		da	
baf08233da5a0d0d8ecf2cb012cd6657716eca4201a1425500970db7a2a62e71388a32f7b5dfab169e9c77cde571e4e6d74b91316691d2554ded5979032d0844	common_voice_da_28491906.mp3	Det blev sammensat af finansministre, som var truet af en nedjustering af deres statsgæld.	2	1	twenties	male		da	
baf08233da5a0d0d8ecf2cb012cd6657716eca4201a1425500970db7a2a62e71388a32f7b5dfab169e9c77cde571e4e6d74b91316691d2554ded5979032d0844	common_voice_da_28491907.mp3	Der er hurdler, der skal overvindes.	2	0	twenties	male		da	
baf08233da5a0d0d8ecf2cb012cd6657716eca4201a1425500970db7a2a62e71388a32f7b5dfab169e9c77cde571e4e6d74b91316691d2554ded5979032d0844	common_voice_da_28491936.mp3	Selvfølgelig var der fejl ved deres plan, og deres fantasifulde monetære system brød sammen.	2	0	twenties	male		da	
